               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.020756,           0.0014319,          0.00066844,             0.73286,             0.82082,              0.8669,             0.60981,            0.024564,           0.0018053,          0.00099754,             0.00208,             0.00208,             0.00208
                  82,            0.020673,           0.0014273,          0.00073123,             0.96539,             0.66537,              0.8641,             0.60386,            0.024634,           0.0017811,          0.00098508,            0.001981,            0.001981,            0.001981
                  83,             0.02059,           0.0014067,          0.00066871,             0.79129,             0.86057,             0.87328,             0.60538,            0.024807,           0.0017614,           0.0009774,            0.001882,            0.001882,            0.001882
                  84,            0.020622,           0.0014241,          0.00061212,             0.74766,             0.85956,             0.87067,             0.60828,            0.024502,           0.0017892,          0.00098463,            0.001783,            0.001783,            0.001783
                  85,             0.02069,           0.0014134,          0.00059418,             0.67122,             0.89485,             0.87046,             0.60737,            0.024563,           0.0018007,          0.00098447,            0.001684,            0.001684,            0.001684
                  86,            0.020104,            0.001383,          0.00066134,             0.64322,             0.87787,             0.83548,             0.58665,             0.02449,           0.0017443,          0.00096027,            0.001585,            0.001585,            0.001585
                  87,            0.020169,            0.001409,          0.00057053,             0.62933,             0.85997,             0.85022,             0.59823,            0.024971,           0.0017715,          0.00096456,            0.001486,            0.001486,            0.001486
                  88,            0.019805,           0.0013639,          0.00064095,             0.96694,             0.67381,             0.84773,             0.60092,             0.02513,           0.0017585,          0.00096357,            0.001387,            0.001387,            0.001387
                  89,            0.019898,           0.0014023,          0.00061006,             0.94933,             0.67788,             0.82685,             0.57755,            0.024933,           0.0017717,          0.00096428,            0.001288,            0.001288,            0.001288
                  90,            0.019857,           0.0013699,          0.00058897,             0.61616,             0.87828,             0.83404,             0.59321,            0.024641,           0.0017824,          0.00095803,            0.001189,            0.001189,            0.001189
                  91,            0.019964,           0.0013816,          0.00057629,             0.60072,              0.8792,             0.81996,             0.57511,            0.024539,           0.0017917,          0.00096446,             0.00109,             0.00109,             0.00109
                  92,            0.019578,            0.001354,           0.0006319,             0.61493,             0.87612,             0.82477,              0.5746,            0.024535,            0.001768,          0.00096253,            0.000991,            0.000991,            0.000991
                  93,            0.019981,           0.0014132,          0.00058892,              0.5994,              0.8971,             0.82639,             0.58385,            0.024512,           0.0017749,          0.00095131,            0.000892,            0.000892,            0.000892
                  94,            0.019476,           0.0013561,          0.00058257,             0.59858,             0.89542,             0.82494,             0.58744,            0.024498,           0.0017621,          0.00095137,            0.000793,            0.000793,            0.000793
                  95,            0.019508,           0.0013648,          0.00057777,             0.60061,             0.87806,             0.82941,              0.5802,            0.024877,           0.0017629,           0.0009338,            0.000694,            0.000694,            0.000694
                  96,            0.019359,           0.0013556,          0.00060804,             0.63299,             0.89363,               0.836,             0.58743,            0.024411,           0.0017519,          0.00093066,            0.000595,            0.000595,            0.000595
                  97,            0.019607,           0.0013485,          0.00057309,              0.6268,             0.87695,             0.82968,             0.58279,            0.024315,           0.0017586,          0.00093311,            0.000496,            0.000496,            0.000496
                  98,            0.019388,           0.0013326,          0.00054196,             0.63876,             0.89187,              0.8321,             0.58883,            0.024393,           0.0017593,          0.00092848,            0.000397,            0.000397,            0.000397
                  99,            0.019094,           0.0013676,          0.00056568,             0.64233,             0.88884,             0.83804,             0.58727,            0.024356,           0.0017689,          0.00092649,            0.000298,            0.000298,            0.000298
