               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.030789,            0.014135,           0.0044137,             0.84441,             0.90971,             0.90456,             0.57093,            0.032775,            0.014385,           0.0055058,            0.003268,            0.003268,            0.003268
                  70,            0.029304,            0.015446,           0.0043133,              0.8208,             0.92105,             0.91033,             0.58643,            0.032455,            0.014789,           0.0055773,            0.003169,            0.003169,            0.003169
                  71,            0.029542,            0.014264,           0.0042698,             0.82192,             0.90854,             0.86198,             0.55239,            0.032934,            0.015005,            0.007128,             0.00307,             0.00307,             0.00307
                  72,            0.029425,            0.014435,           0.0041569,             0.84361,              0.9201,             0.91292,             0.58299,            0.032038,            0.014866,           0.0053244,            0.002971,            0.002971,            0.002971
                  73,            0.029248,            0.014567,           0.0046257,             0.84773,             0.90691,             0.92333,             0.59033,            0.032901,            0.014792,           0.0045361,            0.002872,            0.002872,            0.002872
                  74,            0.029059,            0.014931,           0.0042002,             0.84474,             0.88788,             0.91491,             0.58678,            0.031625,            0.014503,           0.0046723,            0.002773,            0.002773,            0.002773
                  75,            0.028611,            0.014565,           0.0040152,             0.81979,             0.89926,              0.9105,             0.56063,            0.032088,            0.014565,           0.0051432,            0.002674,            0.002674,            0.002674
                  76,            0.028821,            0.014743,           0.0041991,             0.81728,             0.88524,             0.88829,             0.56615,            0.030693,             0.01434,           0.0056338,            0.002575,            0.002575,            0.002575
                  77,            0.028014,             0.01416,            0.003896,             0.83396,             0.89031,             0.88077,             0.57323,            0.030767,            0.014143,           0.0053959,            0.002476,            0.002476,            0.002476
                  78,            0.028185,            0.013646,           0.0033854,             0.83165,             0.93105,              0.9046,             0.58961,            0.030703,             0.01404,           0.0044501,            0.002377,            0.002377,            0.002377
                  79,            0.028399,            0.013373,           0.0043293,             0.84754,             0.92732,             0.92299,             0.60252,            0.031604,            0.014275,           0.0042565,            0.002278,            0.002278,            0.002278
                  80,            0.027121,            0.013923,           0.0034446,             0.82425,             0.88642,             0.86218,             0.55327,            0.031965,            0.014634,           0.0070691,            0.002179,            0.002179,            0.002179
                  81,            0.027558,            0.014806,           0.0034774,              0.8292,             0.87914,             0.86448,             0.56373,            0.031491,            0.014716,           0.0074889,             0.00208,             0.00208,             0.00208
                  82,            0.026425,            0.013622,           0.0040688,             0.81356,             0.89321,             0.86452,             0.57581,            0.031146,            0.014409,           0.0060359,            0.001981,            0.001981,            0.001981
                  83,             0.02589,            0.014195,            0.002692,             0.84548,             0.91202,             0.87892,              0.5847,            0.030668,              0.0141,           0.0053675,            0.001882,            0.001882,            0.001882
                  84,            0.025486,            0.014227,           0.0030784,             0.84543,             0.93371,             0.89857,             0.58345,            0.030856,             0.01392,           0.0043488,            0.001783,            0.001783,            0.001783
                  85,            0.026518,            0.014017,           0.0033341,             0.87326,             0.92371,             0.92595,             0.62204,            0.030179,             0.01391,           0.0037962,            0.001684,            0.001684,            0.001684
                  86,            0.026791,            0.015028,           0.0035764,             0.85038,             0.93017,             0.89738,             0.59793,            0.030336,            0.013979,           0.0046822,            0.001585,            0.001585,            0.001585
                  87,            0.025738,            0.013962,            0.003529,             0.82868,              0.9281,             0.88471,             0.58514,             0.03012,            0.014232,           0.0048684,            0.001486,            0.001486,            0.001486
